Epochs,Best ever for all nodes Layer .conv1,Best current for all nodes Layer .conv1,Best ever for all nodes Layer .fc,Best current for all nodes Layer .fc,Best ever for all nodes Layer .layer1.0,Best current for all nodes Layer .layer1.0,Best ever for all nodes Layer .layer1.1,Best current for all nodes Layer .layer1.1,Best ever for all nodes Layer .layer2.0,Best current for all nodes Layer .layer2.0,Best ever for all nodes Layer .layer2.1,Best current for all nodes Layer .layer2.1,Best ever for all nodes Layer .layer3.0,Best current for all nodes Layer .layer3.0,Best ever for all nodes Layer .layer3.1,Best current for all nodes Layer .layer3.1,Best ever for all nodes Layer .layer4.0,Best current for all nodes Layer .layer4.0,Best ever for all nodes Layer .layer4.1,Best current for all nodes Layer .layer4.1
0,0.008645712397992611,,,,,,,,,,,,,,,,,,,
1,0.007873526774346828,,,,,,,,,,,,,,,,,,,
2,0.0036500992719084024,,,,,,,,,,,,,,,,,,,
3,0.00476903235539794,,,,,,,,,,,,,,,,,,,
0,,,0.010032502003014088,,,,,,,,,,,,,,,,,
1,,,0.008267982862889767,,,,,,,,,,,,,,,,,
2,,,0.010456917807459831,,,,,,,,,,,,,,,,,
3,,,0.007777780760079622,,,,,,,,,,,,,,,,,
0,,,,,0.007905610837042332,,,,,,,,,,,,,,,
1,,,,,0.0071320682764053345,,,,,,,,,,,,,,,
2,,,,,0.006119993515312672,,,,,,,,,,,,,,,
3,,,,,0.0036957096308469772,,,,,,,,,,,,,,,
0,,,,,,,0.011389480903744698,,,,,,,,,,,,,
1,,,,,,,0.004444585647433996,,,,,,,,,,,,,
2,,,,,,,0.0029298493172973394,,,,,,,,,,,,,
3,,,,,,,0.0036033308133482933,,,,,,,,,,,,,
0,,,,,,,,,0.009963217191398144,,,,,,,,,,,
1,,,,,,,,,0.004854698199778795,,,,,,,,,,,
2,,,,,,,,,0.005971352569758892,,,,,,,,,,,
3,,,,,,,,,0.006050819531083107,,,,,,,,,,,
0,,,,,,,,,,,0.004634176846593618,,,,,,,,,
1,,,,,,,,,,,0.008537380956113338,,,,,,,,,
2,,,,,,,,,,,0.0035383147187530994,,,,,,,,,
3,,,,,,,,,,,0.0037609811406582594,,,,,,,,,
0,,,,,,,,,,,,,0.0022245084401220083,,,,,,,
1,,,,,,,,,,,,,0.0025561151560395956,,,,,,,
2,,,,,,,,,,,,,0.0023040235973894596,,,,,,,
3,,,,,,,,,,,,,0.0028221968095749617,,,,,,,
0,,,,,,,,,,,,,,,0.0037721931003034115,,,,,
1,,,,,,,,,,,,,,,0.0026513917837291956,,,,,
2,,,,,,,,,,,,,,,0.003071100451052189,,,,,
3,,,,,,,,,,,,,,,0.0031334366649389267,,,,,
0,,,,,,,,,,,,,,,,,0.00872825551778078,,,
1,,,,,,,,,,,,,,,,,0.012866328470408916,,,
2,,,,,,,,,,,,,,,,,0.009534715674817562,,,
3,,,,,,,,,,,,,,,,,0.009167582727968693,,,
0,,,,,,,,,,,,,,,,,,,0.017327260226011276,
1,,,,,,,,,,,,,,,,,,,0.01978135295212269,
2,,,,,,,,,,,,,,,,,,,0.01636185124516487,
3,,,,,,,,,,,,,,,,,,,0.013658919371664524,
